state,B_sanctioned,B_installed,B_rate,farmer_cost_share_max_pct,central_cfa_pct,cfa_category,ghi_kwh_m2_day,ghi_tier
Tamil Nadu,5200,3909,75.17307692307692,40,30,general,5.2,2
Haryana,197655,137594,69.61321494523285,40,30,general,5.1,2
Gujarat,12382,7705,62.22742691003069,40,30,general,5.6,1
Jharkhand,42985,23999,55.83110387344423,40,30,general,4.9,3
Himachal Pradesh,1270,685,53.93700787401575,20,50,special,4.4,4
Uttar Pradesh,110948,54117,48.77690449579983,40,30,general,4.9,3
Maharashtra,505000,222933,44.145148514851485,40,30,general,5.1,2
Rajasthan,212914,89245,41.915984857735985,40,30,general,5.7,1
Jammu and Kashmir,5000,1937,38.74,20,50,special,4.8,3
Odisha,16441,5478,33.31914117146159,40,30,general,4.9,3
Tripura,10895,3537,32.46443322625058,20,50,special,4.4,4
Punjab,53000,12952,24.437735849056605,40,30,general,5.1,2
Madhya Pradesh,59400,7325,12.331649831649832,40,30,general,5.4,1
Uttarakhand,5685,473,8.32014072119613,20,50,special,4.6,4
Karnataka,41360,1674,4.0473887814313345,40,30,general,5.2,2
Meghalaya,3035,96,3.1630971993410215,20,50,special,4.3,4
Mizoram,1700,40,2.3529411764705883,20,50,special,4.4,4
Chhattisgarh,10000,0,0.0,40,30,general,5.0,2
Assam,4000,0,0.0,20,50,special,4.3,4
Ladakh,1400,0,0.0,20,50,special,5.8,1
